iter	RMSE
0	226.0732751
1	214.1883161
2	202.62082
3	192.0659366
4	182.0639376
5	172.2418331
6	163.3824883
7	154.9308369
8	146.864949
9	139.5128207
10	132.3000203
11	125.5252235
12	119.1674313
13	112.8643405
14	107.0893789
15	101.7043343
16	96.43833058
17	91.44747514
18	86.90886283
19	82.46401973
20	78.43482645
21	74.39353524
22	70.77259574
23	67.52993148
24	64.00514768
25	60.95949127
26	57.82727632
27	54.90392977
28	52.12897636
29	49.54003211
30	47.08524727
31	44.78895539
32	42.62783792
33	40.53154234
34	38.59575676
35	36.67089568
36	35.00081048
37	33.33374629
38	31.7289109
39	30.27277217
40	28.82964057
41	27.50331085
42	26.31670344
43	25.08571725
44	23.986587
45	22.94221396
46	21.98023384
47	20.97630258
48	20.08580372
49	19.23140378
50	18.46830766
51	17.69851793
52	17.02117267
53	16.3418322
54	15.74382284
55	15.1869041
56	14.65486709
57	14.10681391
58	13.53200779
59	13.06926139
60	12.63321622
61	12.22520123
62	11.87172356
63	11.55801723
64	11.11830018
65	10.78556931
66	10.52070916
67	10.18500104
68	9.850137087
69	9.62023245
70	9.314488262
71	9.045444086
72	8.776392246
73	8.543424177
74	8.389697686
75	8.168560121
76	7.982429063
77	7.847442293
78	7.714424595
79	7.581161366
80	7.39239157
81	7.24351649
82	7.099972058
83	7.005753908
84	6.914306222
85	6.819085475
86	6.681095655
87	6.58762555
88	6.478810602
89	6.401894286
90	6.337099724
91	6.285840243
92	6.186758007
93	6.126107813
94	6.037026417
95	5.968590153
96	5.913856459
97	5.841025855
98	5.76727782
99	5.729517117
100	5.688136552
101	5.640038852
102	5.576614373
103	5.534117657
104	5.499477994
105	5.45257297
106	5.398244697
107	5.371062856
108	5.324388538
109	5.304091954
110	5.264666131
111	5.23026112
112	5.203643337
113	5.185497807
114	5.150904231
115	5.121171147
116	5.103810138
117	5.072976635
118	5.051452978
119	5.024660974
120	4.999697058
121	4.985663791
122	4.950885307
123	4.912243117
124	4.88688189
125	4.844998045
126	4.810064289
127	4.795211764
128	4.783713566
129	4.771118216
130	4.754427226
131	4.711909003
132	4.694525825
133	4.66784732
134	4.647089951
135	4.622883639
136	4.61491206
137	4.587632615
138	4.581456319
139	4.569667287
140	4.544465366
141	4.535694945
142	4.507608469
143	4.474956201
144	4.460484321
145	4.43752712
146	4.433771524
147	4.403359754
148	4.385119731
149	4.371438885
150	4.345962315
151	4.331804681
152	4.315604052
153	4.279754565
154	4.262421976
155	4.256285238
156	4.240701272
157	4.229147142
158	4.213760226
159	4.199616394
160	4.179464413
161	4.15991306
162	4.153897736
163	4.132884211
164	4.119805273
165	4.090948557
166	4.055672894
167	4.030673985
168	4.013532666
169	4.002060906
170	3.96903577
171	3.952977667
172	3.939617261
173	3.935027877
174	3.925511021
175	3.909993531
176	3.892226567
177	3.887622239
178	3.871862615
179	3.850497745
180	3.845994953
181	3.83064618
182	3.819058371
183	3.812831596
184	3.79270614
185	3.778947724
186	3.774850642
187	3.767001473
188	3.759292384
189	3.747179069
190	3.734374443
191	3.725357426
192	3.699897335
193	3.694585313
194	3.687379853
195	3.683693846
196	3.669861765
197	3.662811893
198	3.648882915
199	3.627728519
200	3.604757778
201	3.592403417
202	3.576595689
203	3.566528812
204	3.556459479
205	3.541838356
206	3.530350183
207	3.519120231
208	3.508773397
209	3.495445653
210	3.475424165
211	3.459816835
212	3.453225248
213	3.439634034
214	3.427946013
215	3.42051385
216	3.415697367
217	3.406873027
218	3.398211649
219	3.391498134
220	3.378871725
221	3.372131399
222	3.35971015
223	3.348170996
224	3.335918862
225	3.325978644
226	3.312551129
227	3.306619487
228	3.296021022
229	3.2883272
230	3.276513749
231	3.265538481
232	3.259483773
233	3.248492707
234	3.243077873
