iter	Passed	Remaining
0	5	5052
1	9	4867
2	14	4814
3	19	4758
4	23	4658
5	27	4546
6	32	4545
7	36	4467
8	40	4411
9	44	4362
10	48	4381
11	53	4387
12	57	4391
13	62	4436
14	67	4425
15	71	4401
16	75	4373
17	81	4419
18	85	4412
19	90	4421
20	95	4441
21	99	4443
22	104	4427
23	108	4404
24	112	4404
25	117	4388
26	121	4368
27	125	4352
28	130	4356
29	134	4340
30	138	4335
31	143	4343
32	148	4365
33	153	4373
34	159	4393
35	163	4385
36	168	4378
37	172	4370
38	177	4375
39	181	4364
40	186	4360
41	191	4373
42	196	4376
43	201	4372
44	205	4366
45	210	4370
46	215	4367
47	219	4356
48	224	4351
49	228	4345
50	232	4334
51	237	4324
52	242	4326
53	246	4319
54	250	4312
55	255	4308
56	260	4306
57	264	4303
58	269	4298
59	274	4295
60	278	4288
61	282	4279
62	287	4278
63	292	4279
64	297	4280
65	302	4274
66	307	4276
67	311	4271
68	315	4261
69	320	4262
70	325	4255
71	330	4254
72	335	4254
73	340	4263
74	345	4262
75	351	4269
76	355	4265
77	360	4259
78	364	4253
79	369	4251
80	373	4240
81	378	4232
82	382	4227
83	387	4220
84	391	4216
85	396	4209
86	401	4215
87	406	4213
88	411	4208
89	415	4204
90	420	4199
91	424	4192
92	429	4187
93	434	4186
94	439	4182
95	443	4176
96	448	4174
97	452	4168
98	457	4163
99	461	4155
100	467	4157
101	471	4152
102	476	4148
103	481	4146
104	486	4143
105	490	4139
106	496	4142
107	501	4138
108	505	4134
109	509	4125
110	515	4126
111	520	4123
112	524	4116
113	529	4114
114	534	4112
115	539	4109
116	544	4109
117	550	4111
118	554	4107
119	559	4102
120	563	4096
121	568	4090
122	573	4089
123	579	4092
124	583	4084
125	588	4081
126	594	4083
127	598	4079
128	603	4073
129	608	4071
130	613	4070
131	618	4064
132	622	4057
133	628	4058
134	632	4050
135	636	4044
136	642	4044
137	647	4047
138	653	4047
139	659	4054
140	665	4055
141	670	4054
142	676	4055
143	681	4053
144	687	4051
145	692	4051
146	698	4050
147	702	4046
148	708	4047
149	713	4044
150	719	4046
151	725	4045
152	730	4042
153	735	4042
154	740	4038
155	745	4034
156	750	4031
157	755	4026
158	760	4021
159	765	4016
160	770	4015
161	776	4017
162	781	4015
163	787	4014
164	792	4011
165	797	4006
166	803	4008
167	808	4003
168	813	3997
169	818	3995
170	823	3994
171	829	3990
172	834	3988
173	839	3983
174	843	3978
175	849	3977
176	854	3974
177	859	3970
178	865	3968
179	869	3961
180	874	3955
181	878	3949
182	884	3948
183	888	3942
184	893	3936
185	899	3934
186	903	3929
187	908	3924
188	913	3921
189	919	3919
190	924	3915
191	930	3915
192	936	3914
193	940	3909
194	947	3909
195	952	3906
196	957	3901
197	962	3900
198	968	3896
199	973	3894
200	979	3893
201	984	3889
202	990	3887
203	995	3885
204	1000	3880
205	1005	3874
206	1010	3871
207	1015	3866
208	1020	3861
209	1026	3861
210	1032	3859
211	1036	3854
212	1042	3851
213	1047	3846
214	1052	3841
215	1057	3838
216	1062	3833
217	1067	3828
218	1072	3823
219	1077	3821
220	1082	3817
221	1087	3811
222	1092	3807
223	1097	3803
224	1102	3798
225	1108	3796
226	1113	3791
227	1118	3786
228	1124	3786
229	1129	3781
230	1134	3776
231	1139	3773
232	1145	3770
233	1150	3764
234	1155	3761
235	1160	3756
236	1165	3751
237	1170	3748
238	1175	3742
239	1180	3737
240	1185	3732
241	1190	3727
242	1194	3721
243	1199	3717
244	1205	3714
245	1209	3708
246	1214	3703
247	1220	3700
248	1225	3695
249	1229	3689
250	1235	3685
251	1240	3681
252	1245	3677
253	1250	3673
254	1255	3669
255	1260	3664
256	1266	3660
257	1271	3655
258	1275	3650
259	1280	3645
260	1286	3641
261	1290	3635
262	1295	3629
263	1300	3624
264	1305	3620
265	1309	3614
266	1315	3610
267	1319	3605
268	1324	3600
269	1330	3597
270	1335	3592
271	1339	3586
272	1344	3581
273	1349	3575
274	1354	3570
275	1358	3564
276	1364	3561
277	1369	3556
278	1374	3551
279	1379	3548
280	1384	3543
281	1390	3539
282	1395	3535
283	1400	3530
284	1404	3524
285	1410	3520
286	1415	3516
287	1420	3512
288	1426	3509
289	1431	3504
290	1436	3500
291	1441	3496
292	1447	3491
293	1452	3487
294	1456	3481
295	1461	3476
296	1466	3471
297	1471	3465
298	1477	3462
299	1482	3458
300	1486	3452
301	1492	3449
302	1497	3444
303	1501	3438
304	1507	3435
305	1513	3432
306	1518	3428
307	1524	3425
308	1529	3421
309	1534	3416
310	1540	3413
311	1546	3409
312	1550	3404
313	1556	3400
314	1561	3395
315	1566	3390
316	1571	3386
317	1576	3380
318	1581	3375
319	1586	3370
320	1591	3365
321	1595	3359
322	1600	3354
323	1606	3351
324	1611	3346
325	1615	3340
326	1621	3336
327	1625	3331
328	1630	3325
329	1636	3322
330	1641	3317
331	1647	3314
332	1652	3310
333	1657	3305
334	1663	3302
335	1668	3298
336	1674	3293
337	1679	3290
338	1685	3286
339	1690	3280
340	1695	3275
341	1700	3270
342	1705	3266
343	1709	3260
344	1715	3256
345	1720	3251
346	1725	3246
347	1731	3243
348	1736	3239
349	1741	3234
350	1746	3229
351	1751	3224
352	1756	3219
353	1761	3213
354	1766	3209
355	1771	3204
356	1776	3199
357	1781	3195
358	1786	3190
359	1791	3185
360	1797	3181
361	1802	3175
362	1806	3170
363	1812	3166
364	1816	3161
365	1821	3155
366	1826	3151
367	1832	3146
368	1836	3140
369	1841	3135
370	1847	3131
371	1852	3126
372	1856	3121
373	1862	3117
374	1867	3112
375	1872	3107
376	1878	3103
377	1882	3098
378	1887	3093
379	1893	3089
380	1898	3084
381	1903	3079
382	1909	3075
383	1913	3069
384	1918	3064
385	1923	3059
386	1928	3054
387	1933	3049
388	1939	3046
389	1944	3041
390	1949	3036
391	1955	3032
392	1960	3028
393	1965	3023
394	1970	3017
395	1976	3014
396	1981	3009
397	1986	3004
398	1991	3000
399	1996	2995
400	2002	2991
401	2007	2986
402	2012	2982
403	2017	2977
404	2023	2972
405	2028	2967
406	2033	2962
407	2038	2958
408	2044	2953
409	2049	2948
410	2054	2944
411	2059	2939
412	2064	2934
413	2070	2930
414	2075	2925
415	2080	2920
416	2085	2916
417	2090	2910
418	2095	2905
419	2100	2901
420	2106	2896
421	2110	2891
422	2116	2886
423	2121	2881
424	2125	2875
425	2130	2870
426	2135	2865
427	2139	2859
428	2144	2854
429	2150	2850
430	2155	2845
431	2160	2840
432	2165	2835
433	2170	2830
434	2174	2824
435	2179	2819
436	2184	2814
437	2190	2810
438	2195	2805
439	2200	2800
440	2204	2794
441	2209	2789
442	2215	2786
443	2220	2780
444	2224	2774
445	2229	2769
446	2234	2764
447	2239	2759
448	2244	2754
449	2249	2748
450	2254	2743
451	2258	2738
452	2264	2733
453	2268	2728
454	2273	2723
455	2278	2718
456	2283	2713
457	2288	2708
458	2293	2702
459	2297	2697
460	2302	2691
461	2307	2686
462	2311	2681
463	2316	2675
464	2320	2670
465	2325	2665
466	2330	2659
467	2334	2653
468	2338	2648
469	2343	2642
470	2348	2637
471	2352	2631
472	2357	2627
473	2363	2622
474	2367	2617
475	2373	2612
476	2377	2606
477	2381	2600
478	2385	2594
479	2391	2590
480	2395	2584
481	2399	2578
482	2404	2573
483	2409	2568
484	2413	2563
485	2418	2557
486	2423	2552
487	2427	2547
488	2432	2541
489	2437	2536
490	2441	2530
491	2445	2525
492	2449	2519
493	2455	2514
494	2460	2510
495	2464	2504
496	2469	2499
497	2474	2494
498	2479	2489
499	2484	2484
500	2489	2479
501	2493	2473
502	2498	2468
503	2503	2463
504	2507	2457
505	2511	2452
506	2516	2447
507	2520	2441
508	2525	2436
509	2529	2430
510	2535	2426
511	2539	2420
512	2544	2415
513	2548	2410
514	2553	2404
515	2558	2399
516	2562	2394
517	2568	2389
518	2572	2384
519	2577	2378
520	2582	2373
521	2586	2368
522	2590	2362
523	2595	2357
524	2600	2353
525	2605	2347
526	2610	2342
527	2615	2337
528	2619	2332
529	2624	2327
530	2629	2322
531	2633	2316
532	2637	2311
533	2641	2305
534	2647	2301
535	2651	2295
536	2656	2290
537	2661	2285
538	2666	2280
539	2670	2274
540	2676	2270
541	2681	2265
542	2685	2260
543	2689	2254
544	2694	2249
545	2700	2245
546	2704	2239
547	2709	2234
548	2714	2229
549	2718	2223
550	2722	2218
551	2727	2213
552	2732	2208
553	2736	2203
554	2741	2197
555	2746	2192
556	2750	2187
557	2755	2182
558	2760	2177
559	2765	2172
560	2769	2167
561	2774	2162
562	2779	2157
563	2783	2151
564	2787	2145
565	2791	2140
566	2795	2135
567	2799	2129
568	2804	2123
569	2808	2118
570	2813	2113
571	2817	2108
572	2822	2103
573	2826	2097
574	2831	2092
575	2835	2087
576	2840	2082
577	2844	2076
578	2848	2071
579	2853	2066
580	2858	2061
581	2862	2056
582	2867	2050
583	2872	2046
584	2877	2041
585	2882	2036
586	2887	2031
587	2892	2026
588	2896	2021
589	2901	2016
590	2905	2010
591	2910	2005
592	2914	2000
593	2919	1995
594	2923	1990
595	2928	1984
596	2933	1980
597	2937	1975
598	2942	1969
599	2946	1964
600	2952	1960
601	2957	1955
602	2962	1950
603	2967	1945
604	2972	1940
605	2976	1935
606	2981	1930
607	2986	1925
608	2990	1920
609	2995	1915
610	3000	1910
611	3005	1905
612	3009	1900
613	3014	1895
614	3019	1890
615	3023	1885
616	3028	1879
617	3033	1875
618	3038	1870
619	3042	1865
620	3048	1860
621	3052	1855
622	3057	1850
623	3062	1845
624	3067	1840
625	3071	1835
626	3075	1829
627	3081	1825
628	3086	1820
629	3091	1815
630	3096	1810
631	3101	1805
632	3106	1800
633	3111	1796
634	3116	1791
635	3121	1786
636	3125	1781
637	3130	1776
638	3135	1771
639	3140	1766
640	3145	1761
641	3150	1756
642	3155	1752
643	3161	1747
644	3166	1742
645	3171	1737
646	3176	1733
647	3182	1728
648	3187	1723
649	3193	1719
650	3198	1714
651	3202	1709
652	3208	1704
653	3213	1700
654	3218	1695
655	3223	1690
656	3228	1685
657	3233	1680
658	3238	1675
659	3243	1671
660	3248	1666
661	3254	1661
662	3258	1656
663	3263	1651
664	3269	1646
665	3274	1642
666	3279	1637
667	3284	1632
668	3290	1627
669	3295	1622
670	3300	1618
671	3305	1613
672	3310	1608
673	3315	1603
674	3321	1599
675	3326	1594
676	3330	1589
677	3336	1584
678	3341	1579
679	3346	1574
680	3352	1570
681	3356	1565
682	3362	1560
683	3367	1555
684	3372	1551
685	3377	1546
686	3383	1541
687	3388	1536
688	3393	1531
689	3398	1526
690	3404	1522
691	3408	1517
692	3413	1512
693	3419	1507
694	3424	1502
695	3429	1497
696	3435	1493
697	3440	1488
698	3446	1483
699	3451	1479
700	3456	1474
701	3461	1469
702	3467	1464
703	3471	1459
704	3477	1454
705	3482	1450
706	3488	1445
707	3493	1440
708	3499	1436
709	3503	1431
710	3509	1426
711	3514	1421
712	3518	1416
713	3524	1411
714	3530	1407
715	3534	1402
716	3539	1397
717	3545	1392
718	3550	1387
719	3555	1382
720	3560	1377
721	3565	1372
722	3570	1368
723	3576	1363
724	3581	1358
725	3586	1353
726	3592	1348
727	3597	1344
728	3602	1339
729	3607	1334
730	3612	1329
731	3617	1324
732	3623	1319
733	3628	1314
734	3633	1310
735	3639	1305
736	3644	1300
737	3649	1295
738	3653	1290
739	3658	1285
740	3664	1280
741	3668	1275
742	3675	1271
743	3681	1266
744	3686	1261
745	3692	1257
746	3697	1252
747	3702	1247
748	3707	1242
749	3712	1237
750	3718	1232
751	3723	1227
752	3728	1222
753	3733	1217
754	3738	1213
755	3743	1208
756	3748	1203
757	3754	1198
758	3759	1193
759	3763	1188
760	3769	1183
761	3775	1179
762	3779	1174
763	3784	1169
764	3789	1164
765	3794	1159
766	3800	1154
767	3805	1149
768	3810	1144
769	3815	1139
770	3821	1134
771	3826	1129
772	3831	1125
773	3836	1120
774	3841	1115
775	3846	1110
776	3851	1105
777	3856	1100
